check,value,reference,abs_error
collision_weight,0.5312499999999992,0.5312499999999999,6.661338147750939e-16
p2_entropy,0.6325225587435119,0.6325225587435107,1.2212453270876722e-15
terminal_marginal_linf,4.163336342344337e-17,0.0,4.163336342344337e-17
smooth_support,12.0,12.0,0.0
b_col,2.5,2.499999999999999,8.881784197001252e-16
