n_qubits,layers,t_density,repeat,circuit_seed,task,log_k90,k90,global_operator_sre,t_count,active_t_count,task_p2
8,5,0.1,0,798963170080928760,local_z,2.302585092994046,10,1.3536305543010991,5,0.625,0.1980699137620938
8,5,0.1,0,798963170080928760,local_transverse,3.4965075614664802,33,1.3536305543010991,5,1.5625,0.4921214344993546
8,5,0.1,0,798963170080928760,hamiltonian_terms,4.060443010546419,58,1.3536305543010991,5,1.7142857142857142,0.6165444487588522
8,5,0.1,0,798963170080928760,all_pauli,4.574710978503383,97,1.3536305543010991,5,5.0,1.2570037186120273
8,5,0.1,1,881523424200237565,local_z,2.0794415416798357,8,0.2876820724517809,1,0.0,-0.0
8,5,0.1,1,881523424200237565,local_transverse,2.70805020110221,15,0.2876820724517809,1,0.125,0.06453852113757118
8,5,0.1,1,881523424200237565,hamiltonian_terms,3.044522437723423,21,0.2876820724517809,1,0.19047619047619047,0.10008345855698253
8,5,0.1,1,881523424200237565,all_pauli,3.4339872044851463,31,0.2876820724517809,1,1.0,0.2602830982636664
8,5,0.1,2,177549428965584540,local_z,2.3978952727983707,11,1.0565410747474226,6,0.75,0.2876820724517809
8,5,0.1,2,177549428965584540,local_transverse,3.2188758248682006,25,1.0565410747474226,6,1.3125,0.44531101665536404
8,5,0.1,2,177549428965584540,hamiltonian_terms,3.6635616461296463,39,1.0565410747474226,6,1.7619047619047619,0.5913644862500029
8,5,0.1,2,177549428965584540,all_pauli,4.574710978503383,97,1.0565410747474226,6,6.0,1.2144441041932315
8,5,0.1,3,357798337906562973,local_z,2.772588722239781,16,1.684447733438967,7,1.0,0.44531101665536404
8,5,0.1,3,357798337906562973,local_transverse,4.174387269895637,65,1.684447733438967,7,2.4375,1.2685113254635072
8,5,0.1,3,357798337906562973,hamiltonian_terms,4.0943445622221,60,1.684447733438967,7,1.9523809523809523,0.7801585575495751
8,5,0.1,3,357798337906562973,all_pauli,4.718498871295094,112,1.684447733438967,7,7.0,1.2966822024302034
8,5,0.1,4,1881455712524448,local_z,2.4849066497880004,12,1.4363548630768086,5,0.625,0.3746934494414107
8,5,0.1,4,1881455712524448,local_transverse,3.295836866004329,27,1.4363548630768086,5,1.25,0.6776429940239801
8,5,0.1,4,1881455712524448,hamiltonian_terms,3.7612001156935624,43,1.4363548630768086,5,1.1904761904761905,0.5492530008998762
8,5,0.1,4,1881455712524448,all_pauli,4.948759890378168,141,1.4363548630768086,5,5.0,1.3707901745839253
8,5,0.1,5,464167746163067143,local_z,2.3978952727983707,11,1.5737069804079964,6,0.75,0.33024168687057687
8,5,0.1,5,464167746163067143,local_transverse,3.784189633918261,44,1.5737069804079964,6,2.125,1.114360645636249
8,5,0.1,5,464167746163067143,hamiltonian_terms,4.110873864173311,61,1.5737069804079964,6,1.8571428571428572,0.7466358655109315
8,5,0.1,5,464167746163067143,all_pauli,5.187385805840755,179,1.5737069804079964,6,6.0,1.603595636809872
8,5,0.1,6,88189065636125770,local_z,2.302585092994046,10,0.8700148866714361,6,0.875,0.2076393647782445
8,5,0.1,6,88189065636125770,local_transverse,2.8903717578961645,18,0.8700148866714361,6,1.375,0.3087354816496133
8,5,0.1,6,88189065636125770,hamiltonian_terms,3.332204510175204,28,0.8700148866714361,6,1.4761904761904763,0.38776553100876343
8,5,0.1,6,88189065636125770,all_pauli,4.430816798843313,84,0.8700148866714361,6,6.0,1.1183367940158881
