case,n_qubits,layers,t_density,task_p2,exp_task_p2,marginal_collision,marginal_effective_support,terminal_support,k50,k90,k95,labels_used,capped_labels,avg_terminal_terms
local Z n8,8,5,0.25,0.6931471805599453,2.0,0.0625,16.0,19,7,16,18,8,0,2.375
local X/Y n8,8,5,0.25,1.921878721081641,6.83378519290928,0.011150360107421872,89.68320218953133,232,37,141,173,16,0,24.3125
Hamiltonian n10,10,4,0.25,0.5330617652128724,1.7041420118343193,0.022762345679012363,43.93220338983048,72,17,50,58,27,0,3.111111111111111
transported Z n12,12,4,0.2,0.8326487401709718,2.2994011976047903,0.03624131944444445,27.592814371257482,49,12,30,40,12,0,4.083333333333333
all Pauli n12,12,4,0.2,1.980350639035605,7.245283018867924,0.005750868055555548,173.8867924528304,278,71,208,240,24,0,11.583333333333334
