dataset,circuit_id,task,n_qubits,threshold,hit,target_mass,avg_retained_terms,relative_rms_error,best_relative_rms_error,best_avg_retained_terms,labels_used,capped_labels,status,layers,t_density,repeat,circuit_seed,model,periods,frame,detail,benchmark,size,gates,t_count
random,random_n10_r8,local_z,10,0.1,True,0.9,1.6,0.0,0.0,1.6,10,0,ok,4,0.2,8,1079309726663751676,,,,,,,,
random,random_n10_r8,local_transverse,10,0.1,True,0.5,2.95,0.0746743416530697,5.989112118219652e-17,4.8,20,0,ok,4,0.2,8,1079309726663751676,,,,,,,,
random,random_n10_r8,hamiltonian_terms,10,0.1,True,0.9,3.740740740740741,0.016811231775229037,1.744640632886567e-17,4.074074074074074,27,0,ok,4,0.2,8,1079309726663751676,,,,,,,,
random,random_n10_r8,all_pauli,10,0.1,True,0.98,27.875,0.0850812719982828,5.233001204986738e-17,28.625,24,0,ok,4,0.2,8,1079309726663751676,,,,,,,,
random,random_n10_r9,local_z,10,0.1,True,0.9,1.8,0.0,0.0,1.8,10,0,ok,4,0.2,9,118953536042586977,,,,,,,,
random,random_n10_r9,local_transverse,10,0.1,True,0.9,3.15,0.0,0.0,3.15,20,0,ok,4,0.2,9,118953536042586977,,,,,,,,
random,random_n10_r9,hamiltonian_terms,10,0.1,True,0.9,3.2222222222222223,0.0,0.0,3.2222222222222223,27,0,ok,4,0.2,9,118953536042586977,,,,,,,,
random,random_n10_r9,all_pauli,10,0.1,True,0.98,48.708333333333336,0.07957605880939489,2.2879944224253404e-17,49.583333333333336,24,0,ok,4,0.2,9,118953536042586977,,,,,,,,
random,random_n10_r10,local_z,10,0.1,True,0.5,1.3,0.0,0.0,1.3,10,0,ok,4,0.2,10,877496518863222603,,,,,,,,
random,random_n10_r10,local_transverse,10,0.1,True,0.9,2.85,0.006219660838364626,3.0528035636421765e-17,2.95,20,0,ok,4,0.2,10,877496518863222603,,,,,,,,
random,random_n10_r10,hamiltonian_terms,10,0.1,True,0.9,2.6296296296296298,0.03026459564687603,4.187220918531289e-17,2.6666666666666665,27,0,ok,4,0.2,10,877496518863222603,,,,,,,,
