family,n_qubits,window_width,task,task_description,operator_magic,task_p2,exp_task_p2,k90,log10_k90,k90_per_window,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms,all_pauli_log10_k90,log10_k90_over_all_pauli,k90_over_all_pauli
local_window_stress,16,1,window_z_string,contiguous local Z string averaged over positions,nan,0.44531101665536404,1.5609756097560976,32.0,1.505149978319906,2.0,38.0,16,16,0,2.375,9.587202370686724,-8.082052392366817,8.278422885470917e-09
local_window_stress,16,1,window_x_string,contiguous local X string averaged over positions,nan,1.5378442592470916,4.654545454545454,124.0,2.093421685162235,7.75,175.0,16,16,0,10.9375,9.587202370686724,-7.493780685524488,3.207888868119982e-08
local_window_stress,16,1,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,1.5378442592470916,4.654545454545454,167.0,2.2227164711475833,10.4375,218.0,32,32,0,10.9375,9.587202370686724,-7.36448589953914,4.320301943355133e-08
local_window_stress,16,2,window_z_string,contiguous local Z string averaged over positions,nan,1.3217558399823195,3.75,53.0,1.724275869600789,3.533333333333333,58.0,15,15,0,3.8666666666666667,9.587202370686724,-7.862926501085934,1.3711137904061202e-08
local_window_stress,16,2,window_x_string,contiguous local X string averaged over positions,nan,1.5990751253985538,4.948453608247423,197.0,2.294466226161593,13.133333333333333,293.0,15,15,0,19.533333333333335,9.587202370686724,-7.292736144525131,5.0964040888680245e-08
local_window_stress,16,2,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,1.9993988340062996,7.384615384615385,375.0,2.574031267727719,25.0,566.0,60,60,0,22.166666666666668,9.587202370686724,-7.013171102959005,9.701276818911224e-08
local_window_stress,16,3,window_z_string,contiguous local Z string averaged over positions,nan,1.8281271133989299,6.222222222222221,110.0,2.041392685158225,7.857142857142857,132.0,14,14,0,9.428571428571429,9.587202370686724,-7.545809685528498,2.8457078668806283e-08
local_window_stress,16,3,window_x_string,contiguous local X string averaged over positions,nan,2.56746367642825,13.032727272727273,345.0,2.537819095073274,24.642857142857142,524.0,14,14,0,37.42857142857143,9.587202370686724,-7.049383275613449,8.925174673398333e-08
local_window_stress,16,3,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,2.9112352155310743,18.379487179487178,1146.0,3.059184617631371,81.85714285714286,1504.0,112,112,0,42.857142857142854,9.587202370686724,-6.5280177530553525,2.96471019585927e-07
local_window_stress,16,4,window_z_string,contiguous local Z string averaged over positions,nan,2.6984807500860595,14.857142857142858,180.0,2.255272505103306,13.846153846153847,200.0,13,13,0,15.384615384615385,9.587202370686724,-7.331929865583417,4.656612873077392e-08
local_window_stress,16,4,window_x_string,contiguous local X string averaged over positions,nan,2.9424877590351786,18.962962962962962,664.0,2.8221680793680175,51.07692307692308,996.0,13,13,0,76.61538461538461,9.587202370686724,-6.765034291318706,1.7177727487352142e-07
local_window_stress,16,4,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,3.3436884683568855,28.32340425531915,2525.0,3.40226138245468,194.23076923076923,3856.0,208,208,0,86.92307692307692,9.587202370686724,-6.184940988232043,6.532193058066897e-07
local_window_stress,16,5,window_z_string,contiguous local Z string averaged over positions,nan,3.209802528662526,24.774193548387096,372.0,2.5705429398818973,31.0,448.0,12,12,0,37.333333333333336,9.587202370686724,-7.016659430804826,9.623666604359931e-08
local_window_stress,16,5,window_x_string,contiguous local X string averaged over positions,nan,3.944107781715979,51.63025210084034,1130.0,3.0530784434834195,94.16666666666667,1744.0,12,12,0,145.33333333333334,9.587202370686724,-6.534123927203304,2.9233180814319173e-07
local_window_stress,16,5,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,4.280580018337192,72.28235294117647,7655.0,3.88394519503428,637.9166666666666,10112.0,384,384,0,166.66666666666666,9.587202370686724,-5.7032571756524435,1.9803539746337456e-06
local_window_stress,16,nan,all_pauli,"uniform all-Pauli endpoint, analytic",nan,nan,nan,3865470566.400004,9.587202370686724,nan,4294967296.000001,nan,nan,0,nan,9.587202370686724,0.0,1.0
local_window_stress,32,1,window_z_string,contiguous local Z string averaged over positions,nan,0.4575811092471784,1.5802469135802468,66.0,1.8195439355418688,2.0625,78.0,32,32,0,2.4375,19.220162231934122,-17.400618296392253,3.9754079657801834e-18
local_window_stress,32,1,window_x_string,contiguous local X string averaged over positions,nan,1.5843642748819844,4.876190476190477,273.0,2.436162647040756,8.53125,375.0,32,32,0,11.71875,19.220162231934122,-16.783999584893365,1.644373294936348e-17
local_window_stress,32,1,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,1.5843642748819844,4.876190476190477,356.0,2.5514499979728753,11.125,458.0,64,64,0,11.71875,19.220162231934122,-16.668712233961248,2.1443109633602115e-17
local_window_stress,32,2,window_z_string,contiguous local Z string averaged over positions,nan,1.3545456628053103,3.875,110.0,2.041392685158225,3.5483870967741935,122.0,31,31,0,3.935483870967742,19.220162231934122,-17.178769546775897,6.625679942966969e-18
local_window_stress,32,2,window_x_string,contiguous local X string averaged over positions,nan,1.7580595507822128,5.8011695906432745,447.0,2.6503075231319366,14.419354838709678,645.0,31,31,0,20.806451612903224,19.220162231934122,-16.569854708802186,2.6924353950056617e-17
local_window_stress,32,2,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,2.1547909789216226,8.626086956521739,842.0,2.9253120914996495,27.161290322580644,1238.0,124,124,0,23.629032258064516,19.220162231934122,-16.294850140434473,5.071656829071066e-17
local_window_stress,32,3,window_z_string,contiguous local Z string averaged over positions,nan,1.8430527636156055,6.315789473684211,245.0,2.3891660843645326,8.166666666666666,292.0,30,30,0,9.733333333333333,19.220162231934122,-16.83099614756959,1.4757196236608243e-17
local_window_stress,32,3,window_x_string,contiguous local X string averaged over positions,nan,2.5989856164857077,13.450087565674254,844.0,2.926342446625655,28.133333333333333,1228.0,30,30,0,40.93333333333333,19.220162231934122,-16.293819785308468,5.0837035198764557e-17
local_window_stress,32,3,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,2.967489061240596,19.443037974683545,2657.0,3.4243915544102776,88.56666666666666,3424.0,240,240,0,46.666666666666664,19.220162231934122,-15.795770677523844,1.6004028734966572e-16
local_window_stress,32,4,window_z_string,contiguous local Z string averaged over positions,nan,2.7386871705641,15.466666666666665,410.0,2.6127838567197355,14.137931034482758,456.0,29,29,0,15.724137931034482,19.220162231934122,-16.607378375214388,2.469571615105858e-17
local_window_stress,32,4,window_x_string,contiguous local X string averaged over positions,nan,3.1332741605250813,22.948995363214838,1662.0,3.220631019448092,57.310344827586206,2404.0,29,29,0,82.89655172413794,19.220162231934122,-15.99953121248603,1.001080005928281e-16
local_window_stress,32,4,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,3.5302744239372976,34.13333333333333,6263.0,3.7967824117013076,215.9655172413793,9232.0,464,464,0,94.13793103448276,19.220162231934122,-15.423379820232814,3.772421225709283e-16
local_window_stress,32,5,window_z_string,contiguous local Z string averaged over positions,nan,3.2284077164935603,25.23943661971831,909.0,2.9585638832219674,32.464285714285715,1088.0,28,28,0,38.857142857142854,19.220162231934122,-16.261598348712155,5.475220971051779e-17
local_window_stress,32,5,window_x_string,contiguous local X string averaged over positions,nan,3.9832804768144623,53.69288389513108,3127.0,3.4951278812429334,111.67857142857143,4560.0,28,28,0,162.85714285714286,19.220162231934122,-15.725034350691189,1.8835001074234256e-16
local_window_stress,32,5,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,4.350173310136387,77.4918918918919,19738.0,4.295303144637152,704.9285714285714,25472.0,896,896,0,185.71428571428572,19.220162231934122,-14.92485908729697,1.1888879155843839e-15
