n_qubits,eta,gamma,same_nonzero_pauli_support,positive_weights,operator_sre,k_eta_easy_weighted,k_eta_hard_weighted,k_eta_ratio,p_easy_weighted,p_hard_weighted,collision_scale_ratio
8,0.9,0.00390625,2,True,2.3014565796142468,1,231,231.0,0.9961090087890625,0.0077972412109375,127.75146771037183
16,0.9,1.52587890625e-05,2,True,4.6029131592284935,1,58983,58983.0,0.9999847414437681,3.0517345294356346e-05,32767.75000572209
32,0.9,2.3283064365386963e-10,2,True,9.205826318456987,1,3865470567,3865470567.0,0.9999999997671694,4.6566128725352915e-10,2147483647.75
64,0.9,5.421010862427522e-20,2,True,18.411652636913974,1,16602069666338596455,1.6602069666338597e+19,1.0,1.0842021724855044e-19,9.223372036854776e+18
96,0.9,1.262177448353619e-29,2,True,27.617478955370963,1,71305346262837903834189555303,7.1305346262837906e+28,1.0,2.524354896707238e-29,3.961408125713217e+28
