n_qubits,task,log10_k90_all,log10_k90_task,dark_gap_log10,dark_gap_density,visible_density,dark_fraction_of_all,k90_per_term
8,local_z,4.770722440063024,1.1760912590556813,3.594631181007343,0.4493288976259179,0.14701140738196017,0.7534773246963107,1.875
8,local_transverse,4.770722440063024,1.9637878273455553,2.806934612717469,0.3508668265896836,0.24547347841819442,0.5883667825958006,5.75
8,hamiltonian_terms,4.770722440063024,2.1367205671564067,2.6340018729066177,0.3292502341133272,0.26709007089455084,0.5521180295015907,6.523809523809524
16,local_z,9.587202370686724,1.462397997898956,8.124804372787768,0.5078002732992355,0.09139987486868476,0.8474635309284491,1.8125
16,local_transverse,9.587202370686724,2.315970345456918,7.271232025229805,0.45445200157686283,0.14474814659105736,0.7584310567451777,6.46875
16,hamiltonian_terms,9.587202370686724,2.6201360549737576,6.967066315712966,0.4354416447320604,0.16375850343585985,0.7267048348760287,9.266666666666667
24,local_z,14.403682301310422,1.6434526764861874,12.760229624824234,0.5316762343676764,0.06847719485359115,0.885900518901568,1.8333333333333333
24,local_transverse,14.403682301310422,2.507855871695831,11.89582642961459,0.4956594345672746,0.10449399465399295,0.8258878653920553,6.708333333333333
24,hamiltonian_terms,14.403682301310422,2.842609239610562,11.56107306169986,0.4817113775708275,0.11844205165044008,0.8026470467658158,10.08695652173913
32,local_z,19.220162231934122,1.7634279935629373,17.456734238371183,0.5455229449490995,0.05510712479884179,0.9082511389715004,1.8125
32,local_transverse,19.220162231934122,2.640481436970422,16.5796807949637,0.5181150248426156,0.08251504490532569,0.862619190977312,6.828125
32,hamiltonian_terms,19.220162231934122,2.989004615698537,16.231157616235585,0.507223675507362,0.09340639424057928,0.8444859840604085,10.483870967741936
48,local_z,28.85312209318152,1.9395192526186185,26.9136028405629,0.5607000591783937,0.04040665109622122,0.9327795707391762,1.8125
48,local_transverse,28.85312209318152,2.824776462475546,26.02834563070597,0.5422572006397077,0.058849509634907204,0.9020980657360789,6.958333333333333
48,hamiltonian_terms,28.85312209318152,3.185542154854375,25.667579938327144,0.5347412487151488,0.06636546155946614,0.8895945421585011,10.872340425531915
64,local_z,38.48608195442892,2.0644579892269186,36.421623965202,0.5690878744562813,0.0322571560816706,0.9463583226873697,1.8125
64,local_transverse,38.48608195442892,2.9532763366673045,35.53280561776161,0.5552000877775252,0.04614494276042663,0.9232637829913614,7.015625
64,hamiltonian_terms,38.48608195442892,3.3205616801952367,35.165520274233685,0.5494612542849013,0.05188377625305057,0.9137204539519745,11.068783068783068
96,local_z,57.75200167692371,2.2380461031287955,55.51395557379492,0.5782703705603637,0.023312980240924954,0.9612472981343768,1.8020833333333333
96,local_transverse,57.75200167692371,3.1332194567324945,54.618782220191214,0.5689456481269918,0.03263770267429682,0.9457469980995575,7.078125
96,hamiltonian_terms,57.75200167692371,3.506369717095504,54.24563195982821,0.5650586662482106,0.03652468455307817,0.9392857456835724,11.259649122807017
