family,n_qubits,theta_label,theta,task,omega_size,ptm_p2,analytic_p2,abs_error,formula
Rz_tensor,4,pi/6,0.5235987755982988,local_z,1,0.0,0.0,0.0,0
Rz_tensor,4,pi/6,0.5235987755982988,local_transverse,2,0.47000362924573535,0.47000362924573535,0.0,-log(cos(theta)^4+sin(theta)^4)
Rz_tensor,4,pi/6,0.5235987755982988,full_transverse,16,1.8800145169829423,1.8800145169829414,8.881784197001252e-16,-n log(cos(theta)^4+sin(theta)^4)
Rz_tensor,4,pi/6,0.5235987755982988,all_pauli,256,0.830557459112978,0.830557459112978,0.0,-n log((1+gamma)/2)
Rz_tensor,4,pi/4,0.7853981633974483,local_z,1,0.0,0.0,0.0,0
Rz_tensor,4,pi/4,0.7853981633974483,local_transverse,2,0.6931471805599451,0.6931471805599451,0.0,-log(cos(theta)^4+sin(theta)^4)
Rz_tensor,4,pi/4,0.7853981633974483,full_transverse,16,2.7725887222397807,2.7725887222397803,4.440892098500626e-16,-n log(cos(theta)^4+sin(theta)^4)
Rz_tensor,4,pi/4,0.7853981633974483,all_pauli,256,1.1507282898071236,1.1507282898071236,0.0,-n log((1+gamma)/2)
Rz_local_action,1,pi/8,0.39269908169872414,worst_case_transverse,2,0.4949329230945273,0.4949329230945269,2.220446049250313e-16,"-log alpha4, alpha4=((9-cos(4 theta))-sqrt((9-cos(4 theta))^2-64))/8"
Rz_local_action,1,pi/6,0.5235987755982988,worst_case_transverse,2,0.6031865986863347,0.6031865986863344,2.220446049250313e-16,"-log alpha4, alpha4=((9-cos(4 theta))-sqrt((9-cos(4 theta))^2-64))/8"
Rz_local_action,1,pi/4,0.7853981633974483,worst_case_transverse,2,0.6931471805599455,0.6931471805599453,1.1102230246251565e-16,"-log alpha4, alpha4=((9-cos(4 theta))-sqrt((9-cos(4 theta))^2-64))/8"
